dataset_name,fold,classifier,exp_type,explainer,acc_m1,acc_m2
heloc,0,neural_network,Bootstrap,"('dice', 'base')",0.736858097842601,"[0.7216651473716196, 0.7301731996353692, 0.7301731996353692, 0.7395928289273777, 0.7374658158614403, 0.7158918261926466, 0.7289577635976907, 0.7128532360984503, 0.7134609541172896, 0.736858097842601]"
heloc,1,neural_network,Bootstrap,"('roar', 'e2e')",0.7218844984802432,"[0.7091185410334346, 0.7167173252279635, 0.6948328267477204, 0.7197568389057751, 0.7218844984802432, 0.7054711246200608, 0.6996960486322188, 0.7173252279635258, 0.7322188449848024, 0.6869300911854104]"
heloc,1,neural_network,Bootstrap,"('dice', 'base')",0.7322188449848024,"[0.7091185410334346, 0.7167173252279635, 0.6869300911854104, 0.6996960486322188, 0.7322188449848024, 0.7054711246200608, 0.7197568389057751, 0.7173252279635258, 0.6948328267477204, 0.7218844984802432]"
heloc,2,neural_network,Bootstrap,"('roar', 'e2e')",0.7319148936170212,"[0.7361702127659574, 0.7340425531914894, 0.7203647416413373, 0.7164133738601823, 0.7319148936170212, 0.7045592705167173, 0.7361702127659574, 0.7252279635258359, 0.7422492401215806, 0.7398176291793314]"
heloc,2,neural_network,Bootstrap,"('dice', 'base')",0.7361702127659574,"[0.7361702127659574, 0.7164133738601823, 0.7422492401215806, 0.7319148936170212, 0.7398176291793314, 0.7340425531914894, 0.7203647416413373, 0.7045592705167173, 0.7361702127659574, 0.7252279635258359]"
heloc,0,neural_network,Architecture,"('roar', 'e2e')",0.7195381343056821,"[0.7271346095411729, 0.7259191735034943, 0.7006988757216651, 0.712245518079611, 0.7000911577028259, 0.7326040717107262, 0.7438468550592525, 0.7195381343056821, 0.7079914919477363, 0.7037374658158614]"
heloc,0,neural_network,Architecture,"('dice', 'base')",0.7195381343056821,"[0.7271346095411729, 0.7326040717107262, 0.7259191735034943, 0.7438468550592525, 0.7006988757216651, 0.7037374658158614, 0.7079914919477363, 0.7000911577028259, 0.712245518079611, 0.7195381343056821]"
heloc,1,neural_network,Architecture,"('roar', 'e2e')",0.6966565349544073,"[0.7267477203647417, 0.7051671732522796, 0.6939209726443769, 0.7015197568389058, 0.7249240121580547, 0.6936170212765957, 0.7297872340425532, 0.7024316109422493, 0.7139817629179331, 0.6966565349544073]"
heloc,1,neural_network,Architecture,"('dice', 'base')",0.7051671732522796,"[0.7139817629179331, 0.6939209726443769, 0.7024316109422493, 0.7051671732522796, 0.7015197568389058, 0.7267477203647417, 0.6966565349544073, 0.7249240121580547, 0.6936170212765957, 0.7297872340425532]"
heloc,2,neural_network,Architecture,"('roar', 'e2e')",0.7173252279635258,"[0.6890577507598784, 0.6832826747720365, 0.7343465045592705, 0.7337386018237082, 0.7173252279635258, 0.6890577507598784, 0.7212765957446808, 0.7179331306990882, 0.7300911854103344, 0.7331306990881459]"
